POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Owner,0,0,4,BHK,200,1,1,"Sector-47 Chandigarh,Chandigarh",30.7,76.8,40
Dealer,1,1,1,RK,203,0,0,"Bhandup (West),Lalitpur",19.1,72.9,39.9
Owner,0,0,3,BHK,205,1,1,"Sector-9 Malviya Nagar,Jaipur",26.9,75.8,37
Owner,0,0,1,BHK,215,1,1,"Nyay Khand 1,Ghaziabad",28.9,76.9,14
Owner,0,0,1,BHK,218,1,1,"Bharathi Nagar,Coimbatore",12.0,79.8,11
Owner,0,0,1,BHK,219,1,1,"Fatherwadi Vasai East,Palghar",19.4,72.9,21.7
Dealer,0,0,1,RK,220,1,1,"Eksar,Lalitpur",24.7,78.4,59
Owner,0,0,1,BHK,220,1,1,"Shastri Nagar,Pune",18.6,73.9,15
Owner,0,0,2,BHK,220,1,1,"Niti Khand 2,Ghaziabad",28.9,76.9,27
Builder,0,1,1,RK,222,1,0,"Nandore,Lalitpur",24.7,78.4,10.4
Owner,0,0,1,BHK,225,1,1,"Madhuban Bapudham,Ghaziabad",28.7,77.5,8
Dealer,0,0,1,BHK,225,1,1,"Tardeo, A C Market, RTO, Police Colony,Mumbai",28.5,77.3,62
Dealer,0,0,1,BHK,225,1,1,"M P Mill Compound, Tardeo,Maharashtra",19.0,72.8,76
Owner,0,0,1,BHK,225,1,1,"Godadara,Surat",21.2,72.9,5
Dealer,0,1,1,BHK,226,1,0,"Purseni,Lucknow",26.7,81.0,4.5
Dealer,0,1,1,BHK,226,1,0,"Purseni,Lucknow",26.7,81.0,4.5
Dealer,0,1,1,BHK,226,1,0,"Purseni,Lucknow",26.7,81.0,4.5
Builder,1,1,1,BHK,237,0,0,"Karjat,Maharashtra",18.6,75.0,16.4
Builder,1,1,1,RK,237,0,0,"Taloja,Lalitpur",24.7,78.4,17.9
Dealer,1,1,1,BHK,246,0,0,"Malad (East),Mumbai",19.2,72.9,48.4
Dealer,1,1,1,RK,247,0,0,"Boisar,Lalitpur",24.7,78.4,13.8
Owner,0,0,1,BHK,250,1,1,"Manjalpur,Vadodara",22.3,73.2,15
Owner,0,0,1,BHK,250,1,1,"Delhi Ghaziabad Road,Ghaziabad",28.7,77.4,6
Dealer,1,1,1,BHK,251,0,0,"Bhandup (West),Lalitpur",19.1,72.9,45
Dealer,1,1,1,BHK,252,0,1,"Bhandup (West),Maharashtra",19.1,72.9,45
Owner,0,0,2,BHK,252,1,1,"Sanjay Nagar,Ghaziabad",28.7,77.5,20
Owner,0,0,3,BHK,252,1,1,"Kala Patthar,Ghaziabad",28.7,77.4,37
Dealer,1,1,1,BHK,256,0,1,"Vikhroli (West),Mumbai",19.1,72.9,58
Dealer,1,1,1,BHK,258,0,0,"Khanda Colony,Lalitpur",24.7,78.4,56.9
Dealer,0,0,1,RK,260,1,1,"I C Colony,Lalitpur",24.7,78.4,71
Dealer,1,1,1,BHK,265,0,1,"Andheri (East),Lalitpur",19.1,72.9,82
Dealer,1,1,3,BHK,268,0,0,"Hebbal,Bangalore",13.0,77.6,150
